ut_domain,flag,category
doubleclick.net,1,marketing
gstatic.com,1,marketing
google.com,1,search
doubleverify.com,1,marketing
ubuntu.com,1,vendor
apple.com,1,vendor
kaspersky.com,1,vendor
cisco.com,1,vendor
msedge.net,1,marketing
fastly.net,1,marketing
akamaihd.net,1,cdn
mozilla.com,1,vendor
mozilla.org,1,vendor
splunk.com,1,vendor
cloudflare.net,1,cdn
amazonaws.com,1,cloud
drift.com,1,marketing
2mdn.net,1,cdn
akamaiedge.net,1,cdn
microsoft.com,1,vendor
akadns.net,1,cdn
facebook.com,1,social
googlevideo.com,1,social
twitter.com,1,social
